curr,dest,arrival_time,end_time,wait_time
1,4,34.26212012434737,57,22.73787987565263
2,3,78.28471521584316,103,24.715284784156836
1,4,98.85251153475124,143,44.147488465248756
9,5,257.2811120347046,343,85.71888796529538
1,4,304.5718726317746,356,51.428127368225375
3,1,410.3856312381679,439,28.61436876183211
7,5,416.5771680253568,503,86.4228319746432
1,4,481.8093531258662,542,60.19064687413379
6,3,557.234994859997,586,28.76500514000304
6,9,590.2862941387531,634,43.71370586124692
3,4,626.8970041593187,660,33.102995840681274
5,9,636.0790908962837,779,142.92090910371633
4,1,663.4313734054836,739,75.56862659451645
1,4,698.9992172893268,801,102.0007827106732
1,8,731.9786721717521,871,139.02132782824788
3,9,732.7853146049591,986,253.21468539504087
1,4,735.9155190104667,801,65.08448098953329
3,8,809.9347670584565,963,153.0652329415435
3,9,848.9305306818163,986,137.06946931818368
1,6,862.2455790890851,1057,194.75442091091486
1,7,874.9463056991597,1073,198.05369430084033
1,6,878.4340369978761,1057,178.5659630021239
3,9,891.7917782822832,986,94.20822171771681
1,4,929.8911336995704,1030,100.10886630042955
1,8,935.7603982450374,1092,156.23960175496256
1,9,1228.5274005587814,1357,128.47259944121856
1,5,1481.1222005789116,1598,116.87779942108841
1,4,1496.2631025257404,1580,83.73689747425965
1,9,1532.0795409035854,1637,104.92045909641456
1,4,1663.3967625032387,1757,93.60323749676127
1,3,1868.9221642723617,1926,57.07783572763833
1,3,2053.855622338829,2099,45.14437766117089
1,3,2054.0326693935804,2099,44.96733060641964
2,3,2462.2986918802035,2489,26.701308119796522
1,5,2502.843471754674,2565,62.15652824532617
1,3,2862.3746074290984,2925,62.62539257090157
1,9,2956.3885071286095,3066,109.61149287139051
3,9,3005.411631376328,3178,172.58836862367207
3,6,3042.3701818336476,3133,90.62981816635238
1,3,3082.3510761574557,3229,146.64892384254426
1,9,3161.9002844961046,3311,149.09971550389537
1,6,3200.1549187346204,3268,67.84508126537958
1,6,3240.6158647062666,3436,195.38413529373338
5,9,3278.6359155713344,3452,173.3640844286656
1,8,3561.3932949339473,3671,109.60670506605265
1,9,3681.3437027373593,3887,205.6562972626407
3,9,3699.7427480177967,3866,166.25725198220334
1,7,3722.047582751659,3847,124.95241724834113
1,6,3878.8665990727,4018,139.13340092730004
1,6,3882.22147799292,4018,135.77852200708003
1,4,3945.068986823111,3994,48.93101317688888
1,6,4023.945194554845,4190,166.05480544515513
3,9,4028.8412898485003,4222,193.1587101514997
4,6,4041.103333009421,4176,134.89666699057898
3,5,4044.917931170682,4162,117.0820688293179
1,6,4432.871484141387,4557,124.12851585861335
5,8,4465.32923560664,4571,105.6707643933596
1,8,4556.482972665156,4696,139.517027334844
1,9,4586.303282935317,4717,130.69671706468307
3,6,4668.816916718944,4788,119.18308328105559
3,9,4671.515124620985,4843,171.48487537901474
1,5,4702.556788915255,4912,209.4432110847447
6,9,4761.007376235146,4843,81.99262376485422
1,3,4788.183055753217,4887,98.81694424678335
1,3,4791.413884412844,4887,95.5861155871562
1,7,4854.95594541376,4938,83.04405458624024
3,5,5112.222537768769,5172,59.77746223123086
3,6,5119.344876567671,5190,70.65512343232876
1,3,5318.811353837496,5384,65.18864616250357
3,9,5406.096654537804,5463,56.90334546219583
1,3,5600.357849176436,5696,95.6421508235644
1,9,5715.717716552362,5858,142.2822834476383
2,8,5726.842840842559,5914,187.15715915744113
1,3,5728.516975664343,5772,43.48302433565732
1,3,5778.852602502541,5983,204.14739749745877
6,8,5870.8416624200645,6081,210.1583375799355
3,9,5980.721464196601,6099,118.27853580339888
3,5,5992.105086040196,6026,33.8949139598044
1,4,6021.773337263739,6157,135.22666273626055
1,7,6050.715037021275,6187,136.28496297872516
1,3,6229.759505588466,6307,77.2404944115342
1,8,6275.604424407911,6357,81.39557559208879
1,5,6437.3907790703915,6551,113.60922092960845
1,3,6440.933766640397,6523,82.06623335960285
1,9,6599.7140722215,6711,111.28592777850008
1,6,6630.4834881518755,6680,49.51651184812454
1,3,6757.706790927406,6851,93.29320907259444
1,6,6908.490190114366,6991,82.50980988563424
2,8,6908.632329984004,7018,109.36767001599583
3,9,7074.239407834477,7179,104.76059216552312
1,3,7254.20583308744,7345,90.79416691256029
1,4,7613.697713107135,7667,53.302286892864686
1,8,7895.383605514839,7989,93.61639448516144
3,8,8174.405025840225,8273,98.59497415977512
4,5,8251.878287011816,8350,98.1217129881843
3,8,8260.160095650537,8411,150.8399043494628
1,6,8513.30742457919,8600,86.69257542080959
1,4,8945.586852158529,9055,109.41314784147107
3,5,8970.028580940343,9076,105.97141905965691
8,9,9135.453204674483,9188,52.54679532551745
1,8,9790.399377610835,9887,96.60062238916544
