curr,dest,arrival_time,end_time,wait_time
1,3,26.123384718558274,49,22.876615281441726
1,4,26.1809806348061,66,39.819019365193896
1,3,60.04206992582189,114,53.95793007417811
3,9,80.64720177428799,149,68.35279822571201
1,4,150.4168790249529,197,46.58312097504711
