"","Source","Dest","p"
"1",1,2,0.00284090909090909
"2",1,3,0.144886363636364
"3",1,4,0.167613636363636
"4",1,5,0.0511363636363636
"5",1,6,0.0596590909090909
"6",1,7,0.00568181818181818
"7",1,8,0.0511363636363636
"8",1,9,0.0482954545454545
"9",2,5,0.00568181818181818
"10",3,1,0.0994318181818182
"11",3,4,0.00284090909090909
"12",3,5,0.0113636363636364
"13",3,7,0.00284090909090909
"14",3,9,0.00284090909090909
"15",4,1,0.0710227272727273
"16",4,6,0.0142045454545455
"17",4,9,0.00284090909090909
"18",5,1,0.0340909090909091
"19",5,3,0.03125
"20",5,6,0.00284090909090909
"21",5,8,0.00284090909090909
"22",5,9,0.00284090909090909
"23",6,1,0.0596590909090909
"24",6,3,0.00568181818181818
"25",6,8,0.00284090909090909
"26",7,1,0.0142045454545455
"27",7,9,0.00852272727272727
"28",8,1,0.0198863636363636
"29",8,3,0.00852272727272727
"30",8,5,0.00284090909090909
"31",9,1,0.0284090909090909
"32",9,3,0.0227272727272727
"33",9,4,0.00284090909090909
"34",9,5,0.00284090909090909
"35",9,7,0.00284090909090909
